partner_code,source_name,source_note,source_iso_alpha3,source_is_group,partner_type,classification_status,map_iso3,reconciliation_role,source_url,retrieved_at,classification_source_url,classification_note,mapping_source_url,mapping_note
0,World,World,W00,true,world,verified,,world,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,Global total; separate from partner detail,,No individual country geometry for World
156,China,China,CHN,false,country,verified,CHN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: China,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
170,Colombia,Colombia,COL,false,country,verified,COL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Colombia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
188,Costa Rica,Costa Rica,CRI,false,country,verified,CRI,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Costa Rica,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
191,Croatia,Croatia,HRV,false,country,verified,HRV,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Croatia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
196,Cyprus,Cyprus,CYP,false,country,verified,CYP,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Cyprus,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
203,Czechia,Czechia,CZE,false,country,verified,CZE,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Czechia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
208,Denmark,Denmark,DNK,false,country,verified,DNK,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Denmark,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
233,Estonia,Estonia,EST,false,country,verified,EST,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Estonia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
246,Finland,Finland,FIN,false,country,verified,FIN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Finland,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
251,France,"France, Monaco",FRA,false,country,verified,FRA,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: France,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
258,French Polynesia,French Polynesia,PYF,false,country,verified,PYF,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: French Polynesia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
276,Germany,Germany,DEU,false,country,verified,DEU,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Germany,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
300,Greece,Greece,GRC,false,country,verified,GRC,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Greece,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
332,Haiti,Haiti,HTI,false,country,verified,HTI,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Haiti,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
344,"China, Hong Kong SAR","China, Hong Kong Special Administrative Region",HKG,false,country,verified,HKG,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,"Reviewed single partner economy; includes countries and territories; M49 name: China, Hong Kong Special Administrative Region",https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
348,Hungary,Hungary,HUN,false,country,verified,HUN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Hungary,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
360,Indonesia,Indonesia,IDN,false,country,verified,IDN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Indonesia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
372,Ireland,Ireland,IRL,false,country,verified,IRL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Ireland,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
376,Israel,Israel,ISR,false,country,verified,ISR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Israel,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
380,Italy,,ITA,false,country,verified,ITA,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Italy,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
392,Japan,Japan,JPN,false,country,verified,JPN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Japan,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
404,Kenya,Kenya,KEN,false,country,verified,KEN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Kenya,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
410,Rep. of Korea,Republic of Korea,KOR,false,country,verified,KOR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Republic of Korea,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
440,Lithuania,Lithuania,LTU,false,country,verified,LTU,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Lithuania,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
458,Malaysia,Malaysia,MYS,false,country,verified,MYS,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Malaysia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
470,Malta,Malta,MLT,false,country,verified,MLT,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Malta,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
478,Mauritania,Mauritania,MRT,false,country,verified,MRT,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Mauritania,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
484,Mexico,Mexico,MEX,false,country,verified,MEX,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Mexico,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
490,"Other Asia, nes","Other Asia, not elsewhere specified",S19,false,special,verified,,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://uncomtrade.org/docs/taiwan-province-of-china-trade-data/,Special code under docs/data-contract.md; Residual partner detail per UN Comtrade Taiwan FAQ; not an overlapping Asia total; S19 has no verified map ISO,,No verified mapping for S19; retain NULL
504,Morocco,Morocco,MAR,false,country,verified,MAR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Morocco,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
528,Netherlands,Netherlands,NLD,false,country,verified,NLD,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Netherlands (Kingdom of the),https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
554,New Zealand,New Zealand,NZL,false,country,verified,NZL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: New Zealand,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
562,Niger,Niger,NER,false,country,verified,NER,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Niger,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
579,Norway,"Norway, Svalbard and Jan Mayen",NOR,false,country,verified,NOR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Norway,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
598,Papua New Guinea,Papua New Guinea,PNG,false,country,verified,PNG,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Papua New Guinea,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
608,Philippines,Philippines,PHL,false,country,verified,PHL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Philippines,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
616,Poland,Poland,POL,false,country,verified,POL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Poland,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
620,Portugal,Portugal,PRT,false,country,verified,PRT,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Portugal,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
642,Romania,Romania,ROU,false,country,verified,ROU,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Romania,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
643,Russian Federation,Russian Federation,RUS,false,country,verified,RUS,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Russian Federation,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
682,Saudi Arabia,Saudi Arabia,SAU,false,country,verified,SAU,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Saudi Arabia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
699,India,India,IND,false,country,verified,IND,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: India,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
702,Singapore,Singapore,SGP,false,country,verified,SGP,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Singapore,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
703,Slovakia,Slovakia,SVK,false,country,verified,SVK,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Slovakia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
704,Viet Nam,Viet Nam,VNM,false,country,verified,VNM,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Viet Nam,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
705,Slovenia,Slovenia,SVN,false,country,verified,SVN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Slovenia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
710,South Africa,South Africa,ZAF,false,country,verified,ZAF,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: South Africa,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
724,Spain,Spain,ESP,false,country,verified,ESP,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Spain,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
